English,Japanese
Border Guard,国境警備隊
Ducat,ドゥカート金貨
Lackeys,追従者
Acting Troupe,劇団
Cargo Ship,貨物船
Experiment,実験
Improve,増築
Flag Bearer,旗手
Hideout,根城
Inventor,発明家
Mountain Village,山村
Patron,パトロン
Priest,司祭
Research,研究
Silk Merchant,絹商人
Old Witch,老魔女
Recruiter,徴募官
Scepter,王笏
Scholar,学者
Sculptor,彫刻家
Seer,先見者
Spices,香辛料
Swashbuckler,剣客
Treasurer,出納官
Villain,悪党
Flag,旗
Horn,角笛
Key,鍵
Lantern,ランタン
Treasure Chest,宝箱
Cathedral,大聖堂
City Gate,城門
Pageant,野外劇
Sewers,下水道
Star Chart,星図
Exploration,探査
Fair,縁日
Silos,サイロ
Sinister Plot,悪巧み
Academy,学園
Capitalism,資本主義
Fleet,艦隊
Guildhall,ギルド集会所
Piazza,ピアッツァ
Road Network,道路網
Barracks,兵舎
Crop Rotation,輪作
Innovation,技術革新
Canal,運河
Citadel,山砦